Date,Series,Value
2017-01-01,Volume Intensity,0.1379
2017-01-02,Volume Intensity,0.1989
2017-01-03,Volume Intensity,0.2189
2017-01-04,Volume Intensity,0.2742
2017-01-05,Volume Intensity,0.3931
2017-01-06,Volume Intensity,0.3243
2017-01-07,Volume Intensity,0.2186
2017-01-08,Volume Intensity,0.2353
2017-01-09,Volume Intensity,0.253
2017-01-10,Volume Intensity,0.2413
2017-01-11,Volume Intensity,0.214
2017-01-12,Volume Intensity,0.2542
2017-01-13,Volume Intensity,0.1928
2017-01-14,Volume Intensity,0.1536
2017-01-15,Volume Intensity,0.21
2017-01-16,Volume Intensity,0.2736
2017-01-17,Volume Intensity,0.3188
2017-01-18,Volume Intensity,0.2236
2017-01-19,Volume Intensity,0.2142
2017-01-20,Volume Intensity,0.2064
2017-01-21,Volume Intensity,0.1124
2017-01-22,Volume Intensity,0.1293
2017-01-23,Volume Intensity,0.1674
2017-01-24,Volume Intensity,0.2346
2017-01-25,Volume Intensity,0.2195
2017-01-26,Volume Intensity,0.2523
2017-01-27,Volume Intensity,0.2155
2017-01-28,Volume Intensity,0.1752
2017-01-29,Volume Intensity,0.1528
2017-01-30,Volume Intensity,0.1649
2017-01-31,Volume Intensity,0.2043
2017-02-01,Volume Intensity,0.2052
2017-02-02,Volume Intensity,0.1994
2017-02-03,Volume Intensity,0.1729
2017-02-04,Volume Intensity,0.1665
2017-02-05,Volume Intensity,0.1226
2017-02-06,Volume Intensity,0.1895
2017-02-07,Volume Intensity,0.1569
2017-02-08,Volume Intensity,0.1648
2017-02-09,Volume Intensity,0.2373
2017-02-10,Volume Intensity,0.2405
2017-02-11,Volume Intensity,0.2494
2017-02-12,Volume Intensity,0.1446
2017-02-13,Volume Intensity,0.2196
2017-02-14,Volume Intensity,0.1836
2017-02-15,Volume Intensity,0.2111
2017-02-16,Volume Intensity,0.2584
2017-02-17,Volume Intensity,0.3474
2017-02-18,Volume Intensity,0.1728
2017-02-19,Volume Intensity,0.1721
2017-02-20,Volume Intensity,0.2295
2017-02-21,Volume Intensity,0.236
2017-02-22,Volume Intensity,0.2236
2017-02-23,Volume Intensity,0.2038
2017-02-24,Volume Intensity,0.2088
2017-02-25,Volume Intensity,0.1799
2017-02-26,Volume Intensity,0.2223
2017-02-27,Volume Intensity,0.2557
2017-02-28,Volume Intensity,0.2143
2017-03-01,Volume Intensity,0.2428
2017-03-02,Volume Intensity,0.2639
2017-03-03,Volume Intensity,0.2751
2017-03-04,Volume Intensity,0.127
2017-03-05,Volume Intensity,0.1893
2017-03-06,Volume Intensity,0.2381
2017-03-07,Volume Intensity,0.2751
2017-03-08,Volume Intensity,0.2309
2017-03-09,Volume Intensity,0.2772
2017-03-10,Volume Intensity,0.215
2017-03-11,Volume Intensity,0.144
2017-03-12,Volume Intensity,0.1811
2017-03-13,Volume Intensity,0.2158
2017-03-14,Volume Intensity,0.2084
2017-03-15,Volume Intensity,0.2029
2017-03-16,Volume Intensity,0.1927
2017-03-17,Volume Intensity,0.1903
2017-03-18,Volume Intensity,0.146
2017-03-19,Volume Intensity,0.2227
2017-03-20,Volume Intensity,0.2899
2017-03-21,Volume Intensity,0.3075
2017-03-22,Volume Intensity,0.2392
2017-03-23,Volume Intensity,0.2168
2017-03-24,Volume Intensity,0.2435
2017-03-25,Volume Intensity,0.1615
2017-03-26,Volume Intensity,0.1683
2017-03-27,Volume Intensity,0.2493
2017-03-28,Volume Intensity,0.3843
2017-03-29,Volume Intensity,0.3363
2017-03-30,Volume Intensity,0.2897
