year,artificial_intelligence,machine_learning
1990,1.9256528105415782e-06,2.711211237738098e-07
1991,1.8421661025058711e-06,2.769209970665543e-07
1992,1.7687060941777115e-06,2.779515995143811e-07
1993,1.6831161571774698e-06,2.7214384244546507e-07
1994,1.5187248436632217e-06,2.770675787847462e-07
1995,1.3758736453642735e-06,2.8781474067532796e-07
1996,1.2605181609615101e-06,2.9287246101310824e-07
1997,1.181846853017175e-06,3.070625638201818e-07
1998,1.1059534991935443e-06,3.2100932807160074e-07
1999,1.0540503905888597e-06,3.3415950895232527e-07
2000,1.0269686267097962e-06,3.9155473733184666e-07
2001,1.0039752851298545e-06,4.3228019665418417e-07
2002,9.933848040028742e-07,4.993175488315111e-07
2003,9.817024988478806e-07,5.531788644930202e-07
2004,9.60812371886277e-07,6.009713453230299e-07
2005,9.515132189465345e-07,6.432388285507582e-07
2006,9.250629367280843e-07,6.950904370179549e-07
2007,9.025836626668544e-07,7.108282277710844e-07
2008,8.917308735232967e-07,7.689349997365622e-07
2009,9.099680775242242e-07,7.740117666799051e-07
2010,9.275533281132604e-07,7.797133970858081e-07
2011,9.501922347356282e-07,8.103914085820309e-07
2012,9.513132031965402e-07,8.771914557265908e-07
2013,9.915795382247389e-07,1.0242557745446642e-06
2014,1.071822217519574e-06,1.2165907605776738e-06
2015,1.2352338428302443e-06,1.5606950439307963e-06
2016,1.5243381069142612e-06,2.2249463102395694e-06
2017,1.6078843051066845e-06,2.4713449799188916e-06
2018,1.7249657616957848e-06,2.781058196887898e-06
2019,1.9262775765582774e-06,3.186017607959002e-06
